OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A06W0189,A06W0189_1,C-GCWJ,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,TRAINING,CYYC CALGARY INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0190,A06W0190_1,C-GTEZ,CANADA,1971,1451,0-2250,HELICOPTER,BELL HELICOPTER,206,AIRBORNE ENERGY SOLUTIONS,COMMERCIAL,702 - AERIAL WORK,N/A,OTHER,CYRM ROCKY MOUNTAIN HOUSE,"ROCKY MOUNTAIN HOUSE, 5 NM NW",SUBSTANTIAL,2019-03-29T13:28:51
A06W0193,A06W0193_1,C-GIUE,CANADA,2001,73505,27001-272000,AEROPLANE,AIRBUS,A321,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO,CYYC CALGARY,NONE,2019-03-29T13:28:51
A06W0195,A06W0195_1,C-FWJS,CANADA,1995,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYXE SASKATOON,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0195,A06W0195_2,C-GPSN,CANADA,2000,6950,5701-27000,AEROPLANE,BRITISH AEROSPACE,JETSTREAM 3100,SWANBERG AIR INC.,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYQU GRANDE PRAIRE,NONE,2019-03-29T13:28:51
A06W0196,A06W0196_1,C-GPSW,CANADA,1986,6900,5701-27000,AEROPLANE,BRITISH AEROSPACE,BA 31-12,SWANBERG AIR INC.,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYQU GRANDE PRAIRIE,NONE,2019-03-29T13:28:51
A06W0197,A06W0197_1,C-GVTT,CANADA,2006,1633,0-2250,AEROPLANE,CESSNA,206,,PRIVATE,,N/A,PLEASURE/TRAVEL,CFX6 VULCAN,CFX6 VULCAN,SUBSTANTIAL,2019-03-29T13:28:51
A06W0199,A06W0199_1,C-GWEN,CANADA,2005,47833,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYYZ TORONTO/LESTER B. PEARSON INTL, ONTARIO",CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0202,A06W0202_1,C-GNSO,CANADA,1978,3172,2251-5700,AEROPLANE,PIPER,PA-31-350,PEACE AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYOJ HIGH LEVEL,CEU9 TROUT LAKE,SUBSTANTIAL,2019-03-29T13:28:51
A06W0203,A06W0203_1,C-GBWS,CANADA,2006,55792,27001-272000,AEROPLANE,BOEING,737-600,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYYJ VICTORIA, BC",CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0204,A06W0204_1,C-FDRK,CANADA,1990,73500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0204,A06W0204_2,C-GKWQ,CANADA,2005,5239,2251-5700,AEROPLANE,PIAGGIO,P.180,CORPAC CANADA  (CORPORATE EXPRESS),COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,"ESTEVAN, SASKATCHEWAN",CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0206,A06W0206_1,C-GWBT,CANADA,2003,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0207,A06W0207_1,,CANADA,,,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A06W0208,A06W0208_1,C-GCEV,CANADA,1981,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,AIR TINDI,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYZF YELLOWKNIFE, NWT","CSK6 SNAP LAKE, NWT",NONE,2019-03-29T13:28:51
A06W0210,A06W0210_1,C-FASY,CANADA,1981,22317,5701-27000,AEROPLANE,DE HAVILLAND,DHC-5 (BUFFALO),ARCTIC SUNWEST,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYHY HAY RIVER, NT","CYZF YELLOWKNIFE, NT",NONE,2019-03-29T13:28:51
A06W0210,A06W0210_2,,CANADA,,30241,27001-272000,AEROPLANE,MCDONNELL DOUGLAS,C-54,BUFFALO AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYZF YELLOWNIFE, NT",CYHY HAY RIVER,NONE,2019-03-29T13:28:51
A06W0211,A06W0211_1,C-FDST,CANADA,1990,73500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B PERSON INTN'L,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0214,A06W0214_1,C-GBMI,CANADA,,2948,2251-5700,AEROPLANE,PIPER,PA-31-350,AIRCO AIRCRAFT CHARTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYXD EDMONTON CITY CENTRE,CEL5 VALLEYVIEW,SUBSTANTIAL,2019-03-29T13:28:51
A06W0215,A06W0215_1,,UNITED STATES,,,5701-27000,AEROPLANE,CANADAIR,CL-600-1A11 (CHALLENGER 600),SKYWEST AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KDEN DENVER INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0216,A06W0216_1,C-GJZB,CANADA,2003,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0217,A06W0217_1,C-GHPW,CANADA,1978,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0218,A06W0218_1,C-GHKX,CANADA,2001,230000,27001-272000,AEROPLANE,AIRBUS,A330-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,EDDF FRANKFURT,NONE,2019-03-29T13:28:51
A06W0219,A06W0219_1,C-GYNR,CANADA,1989,44452,27001-272000,AEROPLANE,FOKKER,F-28 MK 100,AIR NORTERRA [CANADIAN NORTH),COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A06W0220,A06W0220_1,C-FWSO,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYXU LONDON,NONE,2019-03-29T13:28:51
A06W0221,A06W0221_1,C-GCFI,CANADA,1984,19550,5701-27000,AEROPLANE,CANADAIR,CL600-2A12,NAV CANADA,COMMERCIAL,702 - AERIAL WORK,N/A,INSPECTION,CYEG EDMONTON INTL,CYXJ FT. ST. JOHN,NONE,2019-03-29T13:28:51
A06W0221,A06W0221_2,,CANADA,,21888,5701-27000,AEROPLANE,MCDONNELL DOUGLAS,F-18,CANADIAN FORCES - DND,STATE,N/A,MILITARY,TRAINING,CYOD COLD LAKE,CYOD COLD LAKE,NONE,2019-03-29T13:28:51
A06W0222,A06W0222_1,C-FSJU,CANADA,1995,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0223,A06W0223_1,C-FTJP,CANADA,1991,75500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO INTL,CYVR VANCOUVER INTL,MINOR,2019-03-29T13:28:51
A06W0224,A06W0224_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,SNAP LAKE,NONE,2019-03-29T13:28:51
A06W0225,A06W0225_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CSK6 SNAP LAKE,NONE,2019-03-29T13:28:51
A06W0226,A06W0226_1,C-GHKR,CANADA,2001,230000,27001-272000,AEROPLANE,AIRBUS,A330-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,FRANKFURT INTL,NONE,2019-03-29T13:28:51
A06W0228,A06W0228_1,C-GFAF,CANADA,1999,230000,27001-272000,AEROPLANE,AIRBUS,A330-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,EGLL LONDON HEATHROW,NONE,2019-03-29T13:28:51
A06W0229,A06W0229_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,SNAP LAKE,NONE,2019-03-29T13:28:51
A06W0231,A06W0231_1,C-FTJZ,CANADA,2005,38329,27001-272000,AEROPLANE,CANADAIR,CL-600-2D15 (RJ705),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYG WINNIPEG INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0232,A06W0232_1,,CANADA,,21523,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A06W0232,A06W0232_2,,CANADA,,7802,5701-27000,HELICOPTER,BELL HELICOPTER,412,CANADIAN FORCES - DND,STATE,N/A,MILITARY,TRAINING,CYYC CALGARY INTL,CYXD EDMONTON CITY CENTRE,NONE,2019-03-29T13:28:51
A06W0234,A06W0234_1,C-GJFY,CANADA,1981,5670,2251-5700,AEROPLANE,BEECH,200,SUNWEST HOME AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0234,A06W0234_2,,CANADA,,20000,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-300,JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0235,A06W0235_1,C-FCSE,CANADA,1970,20183,5701-27000,AEROPLANE,HAWKER SIDDELEY,HS 748 2A,AIR NORTH CHARTER & TRAINING,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYXY WHITEHORSE,CYMM FORT MCMURRAY,NONE,2019-03-29T13:28:51
A06W0236,A06W0236_1,C-GZCC,CANADA,2003,771,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,"VETERAN, 4 NM E","CGB2 CARSTAIRS, AB",SUBSTANTIAL,2019-03-29T13:28:51
A06W0237,A06W0237_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYZF YELLOWKNIFE, NT","CDK2 DIAVIK, NT",NONE,2019-03-29T13:28:51
A06W0239,A06W0239_1,C-FMWJ,CANADA,2005,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYLW KELOWNA BC,NONE,2019-03-29T13:28:51
A06W0240,A06W0240_1,C-GJZF,CANADA,2001,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYJ VICTORIA INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A06W0241,A06W0241_1,C-FTNQ,CANADA,1994,257000,27001-272000,AEROPLANE,AIRBUS,A340-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CALGARY INTL, 50 NM E",CYYZ TORONTO/LESTER B PEARSON INTL,NONE,2019-03-29T13:28:51
A06W0242,A06W0242_1,C-GHPW,CANADA,1978,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,DK2 DIAVIK NT,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0243,A06W0243_1,C-GROM,CANADA,1978,1088,0-2250,AEROPLANE,GRUMMAN,AA-5B,,PRIVATE,,N/A,PLEASURE/TRAVEL,HAWK HILLS,"HAWK HILLS, AB",SUBSTANTIAL,2019-03-29T13:28:51
A06W0245,A06W0245_1,C-FCMR,CANADA,1997,7688,5701-27000,AEROPLANE,BEECH,1900D,CENTRAL MOUNTAIN AIR,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A06W0246,A06W0246_1,C-GCTF,CANADA,1945,33475,27001-272000,AEROPLANE,MCDONNELL DOUGLAS,DC-4,BUFFALO AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE NT,CARAT LAKE NT,NONE,2019-03-29T13:28:51
A06W0249,A06W0249_1,C-FNVT,CANADA,1975,51256,27001-272000,AEROPLANE,BOEING,737-200,Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0249,A06W0249_2,C-FCGU,CANADA,1988,5670,2251-5700,AEROPLANE,BEECH,B200,AIR TINDI,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CEM3 WHA TI,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A06W0250,A06W0250_1,C-GPSH,CANADA,1944,32568,27001-272000,AEROPLANE,MCDONNELL DOUGLAS,C-54,BUFFALO AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYZF YELOWKNIFE, NT","CARAT LAKE, NU",SUBSTANTIAL,2019-03-29T13:28:51
A07A0001,A07A0001_1,G-VROM,UNITED KINGDOM,2001,394625,OVER 272001,AEROPLANE,BOEING,747-400,VIRGIN ATLANTIC,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KMCO ORLANDO INT'L AIRPORT,EGCC MANCHESTER,NONE,2019-03-29T13:28:51
A07A0002,A07A0002_1,G-JJMX,UNITED KINGDOM,2002,22226,5701-27000,AEROPLANE,DASSAULT-BREGUET,FALCON 900,,CORPORATE,N/A,N/A,BUSINESS,KPBI PALM BEACH INTERNATIONAL AIRPORT,EGGP LIVERPOOL - JOHN LENNON AIRPORT,NONE,2019-03-29T13:28:51
A07A0003,A07A0003_1,N802AE,UNITED STATES,,,5701-27000,AEROPLANE,EMBRAER,EMB-135KL,AMERICAN EAGLE,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KJFK NEW YORK/JOHN F. KENNEDY INTL,CYHZ HALIFAX INTL,,2019-03-29T13:28:51
A07A0004,A07A0004_1,C-GMCH,CANADA,2005,12020,5701-27000,HELICOPTER,SIKORSKY,S-92A,COUGAR HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN'S INTL,CHEN HENRY GOODRIDGE OIL PRODUCTION PLATFORM,NONE,2019-03-29T13:28:51
A07A0005,A07A0005_1,N917W,UNITED STATES,1991,33838,27001-272000,AEROPLANE,GULFSTREAM AEROSPACE,G IV,,CORPORATE,N/A,N/A,BUSINESS,EGGW LONDON/LUTON ARPT,CYYT ST. JOHN'S INTL,NONE,2019-03-29T13:28:51
A07A0007,A07A0007_1,N863DA,UNITED STATES,1999,231975,27001-272000,AEROPLANE,BOEING,777-200,DELTA AIR LINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,VABB - CHHATRAPATI SHIVAJI INTERNATIONAL (BOMBAY),KJFK - JOHN F. KENNEDY INTERNATIONAL AIRPORT,NONE,2019-03-29T13:28:51
A07A0007,A07A0007_2,,ISRAEL,,,27001-272000,AEROPLANE,BOEING,767,EL AL ISRAEL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,LLBG AIRPORT - TEL AVIV BEN GURION,CYYZ - LESTER B PEARSON,,2019-03-29T13:28:51
A07A0008,A07A0008_1,C-FGMF,CANADA,2005,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYT ST JOHN'S INTL,CYHZ HALIFAX INTL,MINOR,2019-03-29T13:28:51
A07A0009,A07A0009_1,N924CA,UNITED STATES,1993,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),COMAIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KBOS BOSTON,CYFC FREDERICTON,NONE,2019-03-29T13:28:51
A07A0010,A07A0010_1,N507CA,UNITED STATES,2003,24041,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),COMAIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KBOS BOSTON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0011,A07A0011_1,HZ-AIU,SAUDI ARABIA,,374850,OVER 272001,AEROPLANE,BOEING,747-200,SAUDI ARABIAN AIRLINES,COMMERCIAL,NO OPS IN CANADA,N/A,AIR TRANSPORT,HOUSTON (KIAH),OSTEND (EBOS),NONE,2019-03-29T13:28:51
A07A0012,A07A0012_1,N527MC,UNITED STATES,1981,374850,OVER 272001,AEROPLANE,BOEING,747-200,ATLAS AIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,SCHIPHOL AIRPORT [EHAM],CHICAGO O'HARE (KORD),NONE,2019-03-29T13:28:51
A07A0015,A07A0015_1,C-GOSE,CANADA,1983,8600,5701-27000,HELICOPTER,AEROSPATIALE,AS 332 L,CANADIAN HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0016,A07A0016_1,C-GOSE,CANADA,1983,8600,5701-27000,HELICOPTER,AEROSPATIALE,AS 332 L,CANADIAN HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,VENTURE OIL PRODUCTION PLATFORM,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0017,A07A0017_1,N812CA,UNITED STATES,2000,24041,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),COMAIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KBOS BOSTON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0018,A07A0018_1,C-FWJT,CANADA,1995,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYSJ SAINT JOHN,CYHZ HALIFAX INTL.,NONE,2019-03-29T13:28:51
A07A0019,A07A0019_1,EC-KBC,SPAIN,,15808,5701-27000,AEROPLANE,GULFSTREAM AEROSPACE,G-200,,PRIVATE,,N/A,OTHER,CYYT ST. JOHN'S,LEVC VALENCIA SPAIN,NONE,2019-03-29T13:28:51
A07A0020,A07A0020_1,C-GMFI,CANADA,2003,750,0-2250,AEROPLANE,DIAMOND,DA20-C1,MONCTON FLIGHT COLLEGE,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,CYYG CHARLOTTETOWN,CYQM MONCTON/GREATER MONCTON INTL,SUBSTANTIAL,2019-03-29T13:28:51
A07A0021,A07A0021_1,C-GKEJ,CANADA,1998,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,KBOS BOSTON/GENERAL EDWARD LAWRENCE LOGAN INTL,CYHZ HALIFAX/ROBERT L. STANFIELD INTL,NONE,2019-03-29T13:28:51
A07A0022,A07A0022_1,C-FMEY,CANADA,1977,86409,27001-272000,AEROPLANE,BOEING,727-200,MORNINGSTAR AIR EXPRESS INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A07A0023,A07A0023_1,N969CA,UNITED STATES,1996,24041,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),COMAIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KBOS BOSTON,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0025,A07A0025_1,C-FKAX,CANADA,1987,7536,5701-27000,AEROPLANE,BEECH,1900C,PRINCE EDWARD AIR,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYWK WABUSH,"CYYR GOOSE BAY, 45 NM SW",NONE,2019-03-29T13:28:51
A07A0025,A07A0025_2,C-GAAN,CANADA,1986,15649,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,LABRADOR AIRWAYS,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYYR GOOSE BAY, 45 NM SW",CYWK WABUSH,NONE,2019-03-29T13:28:51
A07A0026,A07A0026_1,C-GAAV,CANADA,1996,7688,5701-27000,AEROPLANE,BEECH,1900D,AIR GEORGIAN,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYHZ HALIFAX,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A07A0027,A07A0027_1,C-FGQK,CANADA,1989,15649,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,JAZZ AVIATION LP,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYSJ SAINT JOHN,YUL PIERRE ELLIOTT TRUDEAU INTL AIRPORT,NONE,2019-03-29T13:28:51
A07A0029,A07A0029_1,RA-82078,RUSSIAN FEDERATION,1995,405000,OVER 272001,AEROPLANE,ANTONOV,AN-124,VOLGA-DNEPR GROUP,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KGSP GREER SOUTH CAROLINA,CYQX GANDER INTL,MINOR,2019-03-29T13:28:51
A07A0031,A07A0031_1,C-FEIX,CANADA,2005,38790,27001-272000,AEROPLANE,EMBRAER,170-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ PEARSON INTL. TORONTO,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A07A0038,A07A0038_1,N19130,UNITED STATES,1998,112500,27001-272000,AEROPLANE,BOEING,757-200,CONTINENTAL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EINN SHANNON ARPT,KEWR NEWARK INTL,NONE,2019-03-29T13:28:51
A07A0038,A07A0038_2,N13110,UNITED STATES,1994,112500,27001-272000,AEROPLANE,BOEING,757-200,CONTINENTAL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EIDW DUBLIN ARPT,KEWR NEWARK INTL,NONE,2019-03-29T13:28:51
A07A0039,A07A0039_1,C-GCJZ,CANADA,1979,95027,27001-272000,AEROPLANE,BOEING,727-200,CARGOJET AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYYT ST. JOHN'S INTL,NONE,2019-03-29T13:28:51
A07A0040,A07A0040_1,F-GSPR,FRANCE,2001,231975,27001-272000,AEROPLANE,BOEING,777-200,AIR FRANCE,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,LFPG PARIS/CHARLES DE GAULLE INTL,KJFK NEWYORK/JOHN F. KENNEDY INTL,NONE,2019-03-29T13:28:51
A07A0040,A07A0040_2,D-ABVR,GERMANY,1997,394625,OVER 272001,AEROPLANE,BOEING,747-400,LUFTHANSA,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EDDF FRANKFURT INTL,KIAD WASHINGTON/DULLES INTL,NONE,2019-03-29T13:28:51
A07A0041,A07A0041_1,G-BNWH,UNITED KINGDOM,1990,181437,27001-272000,AEROPLANE,BOEING,767-300,BRITISH AIRWAYS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON INTL,EGLL LONDON/HEATHROW INTL,NONE,2019-03-29T13:28:51
A07A0042,A07A0042_1,C-FAYI,CANADA,1970,1600,0-2250,AEROPLANE,CESSNA,150K,,PRIVATE,RECREATIONAL AVIATION,N/A,TRAINING,CCQ3 DEBERT,CCQ3 DEBERT,SUBSTANTIAL,2019-03-29T13:28:51
A07A0043,A07A0043_1,C-GMFC,CANADA,1980,1724,0-2250,AEROPLANE,PIPER,PA-44-180,MONCTON FLIGHT COLLEGE,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,CYQM GREATER MONCTON INTL,CYQM GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A07A0043,A07A0043_2,C-FMEI,CANADA,1977,86409,27001-272000,AEROPLANE,BOEING,727-200,MORNINGSTAR AIR EXPRESS INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYMX MONTREAL MIRABEL INTL,CYQM GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A07A0048,A07A0048_1,C-FHKP,CANADA,2006,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYHZ HALIFAX INTL,CYUL PIERRE ELLIOTT TRUDEAU INTL,NONE,2019-03-29T13:28:51
