"REF_DATE","GEO","DGUID","Class of operation","Rank and number of movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Chicoutimi/St-Honoré, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501733","6.1.2","72194","","","","0"
"1997","Chicoutimi/St-Honoré, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501734","6.2.1","40","","","","0"
"1997","Chicoutimi/St-Honoré, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501735","6.2.2","26497","","","","0"
"1997","Chicoutimi/St-Honoré, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501736","6.3.1","15","","","","0"
"1997","Chicoutimi/St-Honoré, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501737","6.3.2","45697","","","","0"
"1997","Montréal/Mirabel International, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501804","18.1.1","40","","","t","0"
"1997","Montréal/Mirabel International, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501805","18.1.2","50710","","","t","0"
"1997","Montréal/Mirabel International, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501806","18.2.1","25","","","t","0"
"1997","Montréal/Mirabel International, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501807","18.2.2","47198","","","t","0"
"1997","Montréal/Mirabel International, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501808","18.3.1","40","","","t","0"
"1997","Montréal/Mirabel International, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501809","18.3.2","3512","","","t","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501810","19.1.1","5","","","","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501811","19.1.2","195043","","","","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501812","19.2.1","4","","","","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501813","19.2.2","195043","","","","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501814","19.3.1","0","","","","0"
"1997","Montréal/Pierre Elliott Trudeau International, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501815","19.3.2","0","","","","0"
"1997","Montréal/St-Hubert, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501816","20.1.1","6","","","","0"
"1997","Montréal/St-Hubert, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501817","20.1.2","194589","","","","0"
"1997","Montréal/St-Hubert, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501818","20.2.1","10","","","","0"
"1997","Montréal/St-Hubert, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501819","20.2.2","97124","","","","0"
