OccNo,OccYear,OccDate,OccClassID,OccType,IncidentType,Country,ProvinceState,Ocean,Location,Distance,Airport,ICAO,Latitude,Longitude,CrewFatal,PassengerFatal,GroundFatal,CrewSerious,PassengerSerious,GroundSerious,DGReleaseIND,AircraftType_1,AircraftMake_1,Organization_1,OperatorType_1,RegCountry_1,AircraftType_2,AircraftMake_2,Organization_2,OperatorType_2,RegCountry_2,AircraftType_3,AircraftMake_3,Organization_3,OperatorType_3,RegCountry_3,AircraftType_4,AircraftMake_4,Organization_4,OperatorType_4,RegCountry_4,AircraftType_5,AircraftMake_5,Organization_5,OperatorType_5,RegCountry_5,AircraftType_6,AircraftMake_6,Organization_6,OperatorType_6,RegCountry_6,PRODUCTION_DT
A18Q0025,2018,2018-02-18,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,,St-Hubert,CYHU,45.51805,-73.4169,0,0,0,0,0,0,NO,AEROPLANE,PIPER,CARGAIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0026,2018,2018-02-19,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,QUEBEC,N/A,MONTRÉAL,70.000000000000000,MONTRÉAL INTL (MIRABEL),CYMX,45.67972,-74.0386,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,BOMBARDIER,OTHER,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0027,2018,2018-02-16,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Quebec City,,Jean Lesage Intl,CYQB,46.79111,-71.3933,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,Gouvernement du Quebec - Service Aerien Gouvernemental,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0028,2018,2018-02-22,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,AIR CREEBEC,COMMERCIAL,CANADA,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0029,2018,2018-02-22,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,Montreal,,St-Hubert,CYHU,45.51805,-73.4169,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,CARGAIR  - CARGAIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0030,2018,2018-02-26,2,ACCIDENT,N/A,CANADA,QUEBEC,N/A,HAVRE ST-PIERRE,,HAVRE ST-PIERRE,CYGV,50.28194,-63.6111,0,0,0,0,0,0,NO,AEROPLANE,BEECH,STRAIT AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0031,2018,2018-02-27,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,GATINEAU,,OTTAWA/GATINEAU,CYND,45.52166,-75.5636,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0034,2018,2018-03-01,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,15.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,BEECH,PROPAIR,COMMERCIAL,CANADA,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0035,2018,2018-02-28,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,10.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,CANADA,AEROPLANE,EMBRAER,PIEDMONT AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0036,2018,2018-02-16,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NUNAVUT,N/A,IQALUIT,,IQALUIT,CYFB,63.75666,-68.5561,0,0,0,0,0,0,NO,AEROPLANE,PILATUS,KEEWATIN AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0037,2018,2018-03-15,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,10.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,TRANSPORT CANADA,COMMERCIAL,CANADA,AEROPLANE,EMBRAER,TRANS STATES AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
