OccNo,OccYear,OccDate,OccClassID,OccType,IncidentType,Country,ProvinceState,Ocean,Location,Distance,Airport,ICAO,Latitude,Longitude,CrewFatal,PassengerFatal,GroundFatal,CrewSerious,PassengerSerious,GroundSerious,DGReleaseIND,AircraftType_1,AircraftMake_1,Organization_1,OperatorType_1,RegCountry_1,AircraftType_2,AircraftMake_2,Organization_2,OperatorType_2,RegCountry_2,AircraftType_3,AircraftMake_3,Organization_3,OperatorType_3,RegCountry_3,AircraftType_4,AircraftMake_4,Organization_4,OperatorType_4,RegCountry_4,AircraftType_5,AircraftMake_5,Organization_5,OperatorType_5,RegCountry_5,AircraftType_6,AircraftMake_6,Organization_6,OperatorType_6,RegCountry_6,PRODUCTION_DT
A04A0003,2004,2004-01-12,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,Fredericton,,Fredericton Intl,CYFC,45.86666,-66.5333,0,0,0,0,0,0,NO,AEROPLANE,PIPER,CAPITAL AIRWAYS INC.,COMMERCIAL,CANADA,AEROPLANE,CANADAIR,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0005,2004,2004-01-15,5,INCIDENT REPORTABLE,TRANSMISSION GEARBOX,CANADA,NOVA SCOTIA,N/A,Halifax,15.000000000000000,Stanfield Intl,CYHZ,44.78333,-63.15,0,0,0,0,0,0,NO,HELICOPTER,SIKORSKY,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0006,2004,2004-01-19,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,ST. JOHN'S,40.000000000000000,ST. JOHN'S INTL,CYYT,47.61666,-50,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0007,2004,2004-01-26,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,GRAND HARBOUR,,GRAND MANAN,CCN2,44.71666,-66.8,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,MANAN AIR SERVICES INC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0008,2004,2004-01-23,5,INCIDENT REPORTABLE,ENGINE,CANADA,PRINCE EDWARD ISLAND,N/A,CHARLOTTETOWN,30.000000000000000,CHARLOTTETOWN,CYYG,46.28333,-65.4166,0,0,0,0,0,0,NO,AEROPLANE,DASSAULT-BREGUET,COMPASS FOODS INC,CORPORATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0009,2004,2004-02-01,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,"SYDNEY, 150 NM S",,,,44.33333,-59,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CONNIE KALITTA SERVICES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0011,2004,2004-02-04,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0014,2004,2004-02-13,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,TRANSPORTS CANADA,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0015,2004,2004-02-15,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEW BRUNSWICK,N/A,Fredericton,,Fredericton Intl,CYFC,45.86666,-66.5333,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0018,2004,2004-02-18,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,GREENWOOD,,GREENWOOD,CYZX,44.98333,-64.9166,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CARGOJET AIRWAYS LTD.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0020,2004,2004-03-02,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,HELICOPTER,SIKORSKY,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0025,2004,2004-03-11,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,GANDER,,GANDER INTL,CYQX,48.93333,-54.5666,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,,PRIVATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0026,2004,2004-03-10,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,DIAMOND,MONCTON FLIGHT COLLEGE,OTHER,CANADA,AEROPLANE,AIRBUS,SKYSERVICE,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0031,2004,2004-03-26,5,INCIDENT REPORTABLE,SLUNG LOAD RELEASED,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,GANDER,42.000000000000000,GANDER INTL,CYQX,49.05,-53.5833,0,0,0,0,0,0,NO,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM (MBB),TRANSPORT CANADA,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0033,2004,2004-04-01,5,ACCIDENT,N/A,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,GOOSE BAY,,GOOSE BAY,CYYR,53.31666,-60.4333,0,0,0,0,0,0,NO,HELICOPTER,AEROSPATIALE,UNIVERSAL HELICOPTERS NEWFOUNDLAND,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0041,2004,2004-04-17,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,NEW BRUNSWICK,N/A,"FREDERICTON, 40 NM W",,,,45.58333,-68.5,0,0,0,0,0,0,NO,AEROPLANE,BOEING,WESTJET,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0042,2004,2004-04-23,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,HELICOPTER,SIKORSKY,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,AEROPLANE,BEECH,GRAND CASINOS INC,CORPORATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0043,2004,2004-04-25,5,INCIDENT REPORTABLE,COLLISION,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,SKYSERVICE AIRLINES,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0045,2004,2004-04-27,5,INCIDENT REPORTABLE,DIFFICULT TO CONTROL,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,ST. JOHN'S,,ST. JOHN'S INTL,CYYT,47.61666,-52.75,0,0,0,0,0,0,NO,HELICOPTER,SIKORSKY,COUGAR HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0046,2004,2004-04-29,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,STEPHENVILLE,,STEPHENVILLE,CYJT,48.55,-58.55,0,0,0,0,0,0,NO,AEROPLANE,LOCKHEED,,PRIVATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0049,2004,2004-05-07,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,N/A,NORTH ATLANTIC OCEAN,"NORTH ATLANTIC, 50N 030W",,,,50,-30,0,0,0,0,0,0,NO,AEROPLANE,BOEING,AMERICAN AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0050,2004,2004-05-15,3,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,"TABUSINTAC, 2 NM E",,,,47.31666,-64.9333,0,0,0,0,0,0,NO,HELICOPTER,AEROSPATIALE,GOVERNMENT OF CANADA ROYAL CANADIAN MOUNTED POLICE,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0051,2004,2004-05-16,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,BEECH,SKYLINK EXPRESS INC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0052,2004,2004-05-17,5,INCIDENT REPORTABLE,ENGINE,CANADA,PRINCE EDWARD ISLAND,N/A,"CHARLOTTETOWN, 74 NM NNW",,,,47.25,-64.1666,0,0,0,0,0,0,NO,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM (MBB),CANADIAN COAST GUARD,STATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0053,2004,2004-05-18,5,INCIDENT REPORTABLE,ENGINE,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"ST. JOHN'S, 10 NM E",,,,47.66666,-52.5,0,0,0,0,0,0,NO,HELICOPTER,AEROSPATIALE,COUGAR HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0054,2004,2004-05-21,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,EMBRAER,CONTINENTAL EXPRESS,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0056,2004,2004-05-21,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,NOVA SCOTIA,N/A,Halifax,30.000000000000000,Stanfield Intl,CYHZ,44.38333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,BOEING,BRITISH AIRWAYS,COMMERCIAL,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0057,2004,2004-05-28,3,INCIDENT REPORTABLE,RUNWAY EXCURSION,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CARGOJET AIRWAYS LTD.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0058,2004,2004-05-29,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,N/A,NORTH ATLANTIC OCEAN,"GANDER INTL, 980 NM ESE",,,,45,-43,0,0,0,0,0,0,NO,AEROPLANE,BOEING,DELTA AIR LINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0059,2004,2004-05-29,5,INCIDENT REPORTABLE,ENGINE,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,BRITISH AEROSPACE,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0062,2004,2004-06-03,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,SAINT JOHN,40.000000000000000,SAINT JOHN,CYSJ,45.33333,-67,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CANJET AIRLINES,COMMERCIAL,CANADA,AEROPLANE,BOEING,ALITALIA,COMMERCIAL,ITALY,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0064,2004,2004-06-06,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,HELICOPTER,SIKORSKY,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0069,2004,2004-06-26,5,INCIDENT REPORTABLE,ENGINE,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"GOOSE BAY, 200 NM NE",,,,56.31666,-58.0833,0,0,0,0,0,0,NO,AEROPLANE,DASSAULT-BREGUET,,PRIVATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0070,2004,2004-06-28,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,N/A,NORTH ATLANTIC OCEAN,"ST. JOHN`S INTL (CYYT), 500 NM E",,,,48,-38.1666,0,0,0,0,0,0,NO,AEROPLANE,BOEING,AMERICAN AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0071,2004,2004-06-27,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,MCDONNELL DOUGLAS,KEB AIRCRAFT SALES INC,PRIVATE,UNITED STATES,AEROPLANE,BEECH,UNKNOWN,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0072,2004,2004-06-29,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,ST. JOHN'S,,ST. JOHN'S INTL,CYYT,47.61666,-52.75,0,0,0,0,0,0,NO,AEROPLANE,BEECH,LABRADOR AIRWAYS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0075,2004,2004-07-07,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,TRANSPORT CANADA,STATE,CANADA,AEROPLANE,PIPER,MONCTON FLIGHT COLLEGE,OTHER,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0078,2004,2004-07-12,5,ACCIDENT,N/A,CANADA,NOVA SCOTIA,N/A,TRENTON,,TRENTON,CYTN,45.61666,-62.6166,0,0,0,0,1,0,NO,AEROPLANE,,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0079,2004,2004-07-18,3,ACCIDENT,N/A,CANADA,NOVA SCOTIA,N/A,STANLEY,,STANLEY,CCW4,45.1,-63.9166,1,0,0,0,0,0,NO,GLIDER,,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0082,2004,2004-07-21,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,CHARLO,,CHARLO,CYCL,47.98333,-66.3333,0,0,0,0,0,0,NO,AEROPLANE,,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0086,2004,2004-07-22,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"GOOSE BAY, 70 NM E",,,,54.11666,-58.95,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,TRANS CAPITAL AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0087,2004,2004-07-21,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,EDMUNDSTON,,EDMUNDSTON,CYES,47.48333,-68.4833,0,0,0,0,0,0,NO,BASIC ULTRALIGHT,QUAD CITY ULTRALIGHT AIRCRAFT,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0088,2004,2004-07-26,5,ACCIDENT,N/A,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"DEER LAKE, 3 NM N",,,,48.21666,-57.4833,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,FOREST PROTECTION,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0089,2004,2004-07-25,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,N/A,NORTH ATLANTIC OCEAN,NORTH ATLANTIC,,,,48,-39.1666,0,0,0,0,0,0,NO,AEROPLANE,BOEING,BRITISH AIRWAYS,COMMERCIAL,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0090,2004,2004-07-25,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,N/A,NORTH ATLANTIC OCEAN,NORTH ATLANTIC,,,,57.16666,-48.6833,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,LUFTHANSA GERMAN AIRLINES,COMMERCIAL,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0091,2004,2004-07-24,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,NOVA SCOTIA,N/A,Halifax,30.000000000000000,Stanfield Intl,CYHZ,45.08333,-64.1666,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0092,2004,2004-07-23,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,BOEING,WESTJET,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0093,2004,2004-07-28,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,N/A,NORTH ATLANTIC OCEAN,NORTH ATLANTIC,,,,57,-40,0,0,0,0,0,0,NO,AEROPLANE,BOEING,BRITISH AIRWAYS,COMMERCIAL,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0094,2004,2004-07-30,5,ACCIDENT,N/A,CANADA,NOVA SCOTIA,N/A,"TRENTON, 3 NM ESE",,,,45.61666,-62.5666,0,0,0,0,0,0,NO,AEROPLANE,,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0095,2004,2004-08-01,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,LAKES INTERSECTION,,,,57.98333,-63.2666,0,0,0,0,0,0,NO,AEROPLANE,BOEING,LUFTHANSA,COMMERCIAL,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0097,2004,2004-08-05,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,PIPER,PRINCE EDWARD AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0098,2004,2004-08-09,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"GOOSE BAY, 65 NM E",,,,53.31666,-60,0,0,0,0,0,0,NO,AEROPLANE,BOEING,DELTA AIR LINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0099,2004,2004-08-19,3,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,SAINT JOHN,,SAINT JOHN,CYSJ,45.31666,-65.8833,0,0,0,2,0,0,NO,AEROPLANE,PIPER,SHORELAND TRANSPORT INC.,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0100,2004,2004-08-19,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,N/A,NORTH ATLANTIC OCEAN,NORTH ATLANTIC,,,,,-47,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,LUFTHANSA GERMAN AIRLINES,COMMERCIAL,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0102,2004,2004-08-20,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,NOVA SCOTIA,N/A,"HALIFAX, 40 NM E",,,,44.66666,-62.6166,0,0,0,0,0,0,NO,AEROPLANE,BOEING,NORTH AMERICAN AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0103,2004,2004-08-27,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,N/A,NORTH ATLANTIC OCEAN,NORTH ATLANTIC,,,,55,-47,0,0,0,0,0,0,NO,AEROPLANE,BOEING,CONTINENTAL AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0104,2004,2004-08-26,5,ACCIDENT,N/A,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,BURNT BERRY POND,,,,49.45,-56.2,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,E.J. AVIATION,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0105,2004,2004-08-28,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"STEPHENVILLE, 80 NM W",,,,48,-60.5,0,0,0,0,0,0,NO,AEROPLANE,BOEING,AMERICAN TRANS AIR,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0107,2004,2004-08-26,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,BOEING,WESTJET,COMMERCIAL,CANADA,AEROPLANE,BEECH,AIR GEORGIAN,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0109,2004,2004-08-30,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,Halifax,,Stanfield Intl,CYHZ,44.88333,-63.5166,0,0,0,0,0,0,NO,AEROPLANE,BEECH,AIR GEORGIAN,COMMERCIAL,CANADA,AEROPLANE,BOEING,CONTINENTAL AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0110,2004,2004-08-31,3,INCIDENT REPORTABLE,RUNWAY EXCURSION,CANADA,NEW BRUNSWICK,N/A,Moncton,,Greater Moncton Romeo Lebalnc Intl,CYQM,46.11666,-64.6833,0,0,0,0,0,0,NO,AEROPLANE,BOEING,MORNINGSTAR AIR EXPRESS INC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0111,2004,2004-08-31,3,ACCIDENT,N/A,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,"NAIN, 45 NM NW",,,,56.88333,-62.7,0,0,0,0,0,0,NO,HELICOPTER,AEROSPATIALE,CANADIAN HELICOPTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0113,2004,2004-09-03,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NOVA SCOTIA,N/A,VICINITY OF SYDNEY,,,,46.1,-60.0333,0,0,0,0,0,0,NO,AEROPLANE,BOEING,WESTJET,COMMERCIAL,CANADA,AEROPLANE,LOCKHEED,UNITED STATES MILITARY,STATE,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0120,2004,2004-09-15,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,ILSE-DE-LA-MADELEINE,,,,47.41666,-61.7833,0,0,0,0,0,0,NO,AEROPLANE,GRUMMAN,CHARTRIGHT AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0121,2004,2004-09-16,5,INCIDENT REPORTABLE,ENGINE,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,GANDER,,GANDER INTL,CYQX,48.93333,-54.5666,0,0,0,0,0,0,NO,AEROPLANE,BOEING,EVERGREEN INTERNATIONAL AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0124,2004,2004-09-23,5,ACCIDENT,N/A,CANADA,NEW BRUNSWICK,N/A,MIRAMICHI,,MIRAMICHI,CYCH,47,-65.45,0,0,0,0,0,0,NO,BASIC ULTRALIGHT,,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0125,2004,2004-09-20,5,INCIDENT REPORTABLE,J. ROC / LOS,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,ST. JOHN'S,,ST. JOHN'S INTL,CYYT,47.61666,-52.75,0,0,0,0,0,0,NO,HELICOPTER,AEROSPATIALE,COUGAR HELICOPTERS,COMMERCIAL,CANADA,AEROPLANE,BOEING,DEMOCRATIC REPUBLIC OF THE CONGO,STATE,"ZAIRE, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0126,2004,2004-09-27,5,ACCIDENT,N/A,CANADA,NOVA SCOTIA,N/A,"PORT HAWKESBURY, 11 NM SW",,,,45.48333,-61.4833,0,0,0,0,0,0,NO,AEROPLANE,PIPER,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A04A0130,2004,2004-10-14,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,NEWFOUNDLAND AND LABRADOR,N/A,DEER LAKE,,DEER LAKE,CYDF,49.21666,-57.3833,0,0,0,0,0,0,NO,AEROPLANE,BEECH,LABRADOR AIRWAYS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
